Region,Status,Population,SNP,Family,Age_SD,Ageatmaturity,Length_SD,Finallength,Growth_SD,growthrate3mm,inverseloggrowth,inversesqrtage,Familymeans_age,Familymeans_length,Familymeans_growth
South,Native,AlexShallow, ,AS27, ,308, ,5.282, ,.023256,-.265873151179647,.056980288229819,260,5.23225,.0202682
South,Native,AlexShallow, ,AS27, ,336, ,5.36, ,.01145,-.223725380904548,.0545544725589981,260,5.23225,.0202682
South,Native,AlexShallow, ,AS32, , , , , , , , ,237,5.4584,.03046675
South,Native,AlexShallow, ,AS32, , , , , , , , ,237,5.4584,.03046675
South,Native,AlexShallow, ,AS32, ,159, ,5.6, ,.043478,-.318928378608938,.0793051585718144,237,5.4584,.03046675
South,Native,AlexShallow, ,AS32, ,187, ,5.264, ,.028302,-.280518851728233,.0731272424127131,237,5.4584,.03046675
South,Native,AlexShallow, ,AS32, ,252, , , ,.026087,-.274249243359107,.0629940788348712,237,5.4584,.03046675
South,Native,AlexShallow, ,AS32, ,259, ,5.992, ,.024,-.268117975063714,.06213697660012,237,5.4584,.03046675
South,Native,AlexShallow, ,AS32, ,271, ,5.259, , , ,.0607456739230787,237,5.4584,.03046675
South,Native,AlexShallow, ,AS32, ,294, ,5.177, , , ,.0583211843519804,237,5.4584,.03046675
South,Native,AlexShallow, ,AS35, , , , , , , , ,184, ,.0194596
South,Native,AlexShallow, ,AS35, , , , , , , , ,184, ,.0194596
South,Native,AlexShallow, ,AS35, , , , , , , , ,184, ,.0194596
South,Native,AlexShallow, ,AS35, , , , , ,.032609,-.292127148082198, ,184, ,.0194596
South,Native,AlexShallow, ,AS35, , , , , ,.019608,-.25433529563246, ,184, ,.0194596
South,Native,AlexShallow, ,AS35, , , , , ,.019108,-.252675314642837, ,184, ,.0194596
South,Native,AlexShallow, ,AS35, , , , , ,.006865,-.200750032645516, ,184, ,.0194596
South,Native,AlexShallow, ,AS35, ,184, , , ,.019108,-.252675314642837,.0737209780774486,184, ,.0194596
South,Native,AlexShallow, ,AS36, , , , , ,.02459,-.269875273325427, ,282,4.9795,.02540775
South,Native,AlexShallow, ,AS36, , , , , ,.02459,-.269875273325427, ,282,4.9795,.02540775
South,Native,AlexShallow, ,AS36, , , , , , , , ,282,4.9795,.02540775
South,Native,AlexShallow, ,AS36, , , , , , , , ,282,4.9795,.02540775
South,Native,AlexShallow, ,AS36, ,185, ,5.085, ,.027027,-.276937816714244,.0735214622093808,282,4.9795,.02540775
South,Native,AlexShallow, ,AS36, ,379, ,4.874, ,.025424,-.272326581111365,.0513665496937514,282,4.9795,.02540775
South,Native,AlexShallow, ,AS39, , , , , , , , ,204.25,5.2305,.0249456666666667
South,Native,AlexShallow, ,AS39, ,144, ,5.94, ,.007353,-.203556254551289,.0833333333333333,204.25,5.2305,.0249456666666667
South,Native,AlexShallow, ,AS39, ,154, ,5.512, ,.035294,-.299039279393322,.080582296402538,204.25,5.2305,.0249456666666667
South,Native,AlexShallow, ,AS39, ,156, , , , , ,.0800640769025436,204.25,5.2305,.0249456666666667
South,Native,AlexShallow, ,AS39, ,196, ,5.627, , , ,.0714285714285714,204.25,5.2305,.0249456666666667
South,Native,AlexShallow, ,AS39, ,200, ,4.07, ,.031915,-.290302798452911,.0707106781186548,204.25,5.2305,.0249456666666667
South,Native,AlexShallow, ,AS39, ,213, , , ,.02459,-.269875273325427,.0685188709827532,204.25,5.2305,.0249456666666667
South,Native,AlexShallow, ,AS39, ,275, ,6.113, ,.035294,-.299039279393322,.0603022689155527,204.25,5.2305,.0249456666666667
South,Native,AlexShallow, ,AS39, ,296, ,4.121, ,.015228,-.238970356618528,.0581238193719096,204.25,5.2305,.0249456666666667
South,Native,Clearwater01, ,CW1-146, , , , , , , , ,261.5,3.85,.0183914285714286
South,Native,Clearwater01, ,CW1-146, , , , , , , , ,261.5,3.85,.0183914285714286
South,Native,Clearwater01, ,CW1-146, , , , , , , , ,261.5,3.85,.0183914285714286
South,Native,Clearwater01, ,CW1-146, , , , , ,.015707,-.240752178789477, ,261.5,3.85,.0183914285714286
South,Native,Clearwater01, ,CW1-146, , , , , , , , ,261.5,3.85,.0183914285714286
South,Native,Clearwater01, ,CW1-146, , , , , , , , ,261.5,3.85,.0183914285714286
South,Native,Clearwater01, ,CW1-146, , , , , ,.02,-.255622218635332, ,261.5,3.85,.0183914285714286
South,Native,Clearwater01, ,CW1-146, , , , , ,.023256,-.265873151179647, ,261.5,3.85,.0183914285714286
South,Native,Clearwater01, ,CW1-146, ,177, , , ,.021898,-.261686940699562,.0751646028002829,261.5,3.85,.0183914285714286
South,Native,Clearwater01, ,CW1-146, ,183, ,4.321, ,.025,-.271085030681817,.0739221270954573,261.5,3.85,.0183914285714286
South,Native,Clearwater01, ,CW1-146, ,248, ,3.403, ,.015544,-.24014905185727,.0635000635000953,261.5,3.85,.0183914285714286
South,Native,Clearwater01, ,CW1-146, ,438, ,3.826, ,.007335,-.203454748405974,.0477818482567497,261.5,3.85,.0183914285714286
South,Native,Clearwater04, ,CW1-147, , , , , ,.028302,-.280518851728233, ,241.142857142857,5.136,.024530625
South,Native,Clearwater04, ,CW1-147, ,158, ,5.211, ,.029703,-.284373082468926,.079555728417573,241.142857142857,5.136,.024530625
South,Native,Clearwater04, ,CW1-147, ,175, ,5.634, ,.031915,-.290302798452911,.0755928946018454,241.142857142857,5.136,.024530625
